Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,Expected goals,Assists,Expected assists,Duels/90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions/90,Defensive duels/90,"Defensive duels won, %",Aerial duels/90,"Aerial duels won, %",Sliding tackles/90,PAdj Sliding tackles,Shots blocked/90,Interceptions/90,PAdj Interceptions,Fouls/90,Yellow cards,Yellow cards/90,Red cards,Red cards/90,Successful attacking actions/90,Goals/90,Non-penalty goals,Non-penalty goals/90,Expected goals/90,Head goals,Head goals/90,Shots,Shots/90,"Shots on target, %","Goal conversion, %",Assists/90,Crosses/90,"Accurate crosses, %",Crosses from left flank/90,"Accurate crosses from left flank, %",Crosses from right flank/90,"Accurate crosses from right flank, %",Crosses to goalie box/90,Dribbles/90,"Successful dribbles, %",Offensive duels/90,"Offensive duels won, %",Touches in box/90,Progressive runs/90,Accelerations/90,Received passes/90,Received long passes/90,Fouls suffered/90,Passes/90,"Accurate passes, %",Forward passes/90,"Accurate forward passes, %",Back passes/90,"Accurate back passes, %",Lateral passes/90,"Accurate lateral passes, %",Short / medium passes/90,"Accurate short / medium passes, %",Long passes/90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",Expected assists/90,Shot assists/90,Second assists/90,Third assists/90,Smart passes/90,"Accurate smart passes, %",Key passes/90,Passes to final third/90,"Accurate passes to final third, %",Passes to penalty area/90,"Accurate passes to penalty area, %",Through passes/90,"Accurate through passes, %",Deep completions/90,Deep completed crosses/90,Progressive passes/90,"Accurate progressive passes, %",Conceded goals,Conceded goals/90,Shots against,Shots against/90,Clean sheets,"Save rate, %",Expected goals conceded,Expected goals conceded/90,Prevented goals,Prevented goals/90,Back passes received by GK/90,Exits/90,Aerial duels/90 (GK),Free kicks/90,Direct free kicks/90,"Direct free kicks on target, %",Corners/90,Penalties taken,"Penalty conversion, %"
Dorian Whitmore,Team 2,Team 2,"RCMF, LCMF",29,300000,2026-11-30,10,701,0,1.19,0,1.39,12.97,48.51,Brazil,Brazil,right,174,72,yes,5.52,5.01,51.28,0.77,50.0,0.0,0.0,0.26,2.95,4.42,1.28,1,0.13,0,0.0,1.16,0.0,0,0.0,0.15,0,0.0,8,1.03,25.0,0.0,0.0,2.18,17.65,0.64,20.0,1.54,16.67,0.39,0.26,100.0,5.14,50.0,1.8,0.9,0.26,29.27,1.28,1.41,38.77,79.8,15.66,74.59,6.42,96.0,11.04,77.91,32.48,86.96,4.24,54.55,16.8,32.05,0.18,1.67,0.0,0.0,0.26,100.0,0.77,6.16,72.92,4.37,41.18,0.64,40.0,1.41,0.51,5.65,86.36,0,,0,,0,0.0,0.0,0.0,,,0.26,,,1.03,0.13,0.0,2.31,0,0.0
Nikolai Winslow,Team 2,Team 2,"DMF, LCMF",36,300000,2026-11-30,11,684,0,1.03,0,0.02,15.39,60.68,Ecuador,Ecuador,right,184,74,yes,8.68,7.11,66.67,1.58,58.33,0.26,0.4,0.26,3.68,5.56,2.11,1,0.13,0,0.0,1.05,0.0,0,0.0,0.14,0,0.0,7,0.92,14.29,0.0,0.0,0.66,60.0,0.13,0.0,0.39,66.67,0.0,0.53,100.0,4.47,50.0,1.18,1.05,0.13,39.74,0.53,1.18,53.16,87.87,15.92,80.99,7.63,93.1,21.32,94.44,50.39,90.34,2.11,37.5,16.95,24.11,0.0,0.13,0.13,0.0,0.0,0.0,0.0,6.97,79.25,1.18,44.44,0.13,0.0,0.26,0.39,5.39,63.41,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.0,0.0,0.0,0.0,0,0.0
Emil Calder,Team 2,Team 2,"LCB, RCB",36,300000,2026-11-30,7,682,0,0.0,0,0.0,4.75,61.11,Poland,"Poland, Germany",right,181,82,yes,6.33,1.32,50.0,1.58,66.67,0.13,0.17,0.66,5.54,7.2,0.53,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.79,66.67,0.0,0.53,0.0,36.16,0.0,0.66,47.11,94.96,15.04,90.35,1.98,100.0,27.32,98.55,42.76,97.84,4.22,68.75,21.48,39.64,0.0,0.0,0.13,0.0,0.0,0.0,0.0,5.01,76.32,0.13,0.0,0.0,0.0,0.0,0.0,2.77,66.67,0,,0,,0,0.0,0.0,0.0,,,1.85,,,0.0,0.0,0.0,0.0,0,0.0
Alastair Talbot,Team 2,Team 2,RCB,33,300000,2026-11-30,7,653,0,1.22,0,0.38,10.34,70.67,Hungary,Hungary,right,190,84,yes,7.03,3.45,64.0,4.27,80.65,0.0,0.0,1.38,4.82,7.09,0.69,0,0.0,0,0.0,0.0,0.0,0,0.0,0.17,0,0.0,3,0.41,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.83,66.67,0.96,0.41,0.0,45.34,0.41,1.24,59.13,91.14,20.81,82.12,4.13,96.67,29.63,96.74,53.34,95.35,5.65,53.66,21.13,39.49,0.05,0.41,0.0,0.0,0.0,0.0,0.41,5.93,74.42,0.41,33.33,0.28,50.0,0.55,0.0,6.48,72.34,0,,0,,0,0.0,0.0,0.0,,,3.31,,,0.0,0.0,0.0,0.0,0,0.0
Anton Kessler,Team 2,Team 2,LWB,27,275000,2026-11-30,1,33,0,0.0,0,0.0,,,France,France,left,176,69,yes,,,,,,,0.0,,,2.5,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01,52.66,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Arthur Underwood,Team 2,Team 2,"CF, LW",39,250000,2026-11-30,15,691,1,2.33,2,1.18,11.98,39.13,Finland,Finland,right,171,78,yes,4.04,2.6,50.0,2.47,21.05,0.13,0.24,0.0,2.6,4.8,1.3,1,0.13,0,0.0,0.78,0.13,0,0.0,0.3,0,0.0,17,2.21,11.76,5.882,0.26,0.39,33.33,0.39,33.33,0.0,0.0,0.0,1.04,37.5,5.34,43.9,3.52,0.0,0.0,15.24,1.3,1.82,17.19,86.36,4.3,78.79,3.91,93.33,3.13,95.83,15.63,87.5,1.3,90.0,15.15,17.96,0.15,0.52,0.0,0.0,0.0,0.0,0.52,3.0,82.61,0.52,25.0,0.0,0.0,0.65,0.0,1.69,92.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.13,0.13,100.0,0.39,1,100.0
Dorian Stafford,Team 2,Team 2,RB,32,250000,2026-12-31,9,728,0,0.26,0,0.26,15.08,53.28,Colombia,"Colombia, Germany",right,184,82,yes,6.43,4.33,62.86,4.2,58.82,0.12,0.17,0.37,3.59,5.03,0.74,3,0.37,0,0.0,0.87,0.0,0,0.0,0.03,0,0.0,2,0.25,50.0,0.0,0.0,1.36,18.18,0.0,0.0,1.36,18.18,0.25,0.87,57.14,4.82,46.15,1.48,1.24,0.12,27.57,2.6,1.61,34.74,81.14,11.99,72.16,8.04,90.77,7.79,82.54,30.04,88.07,3.34,44.44,19.48,34.68,0.03,0.74,0.12,0.12,0.0,0.0,0.25,3.09,52.0,1.36,36.36,0.12,0.0,0.49,0.37,3.96,62.5,0,,0,,0,0.0,0.0,0.0,,,1.36,,,0.0,0.0,0.0,0.0,0,0.0
Damian Thorne,Team 2,Team 2,"RCMF, RDMF, LCMF",29,225000,2026-11-30,6,358,0,0.35,0,0.46,13.83,45.45,Spain,"Spain, Italy",right,176,69,yes,5.53,4.53,50.0,1.01,25.0,0.25,0.43,0.0,3.02,5.22,1.76,1,0.25,0,0.0,2.77,0.0,0,0.0,0.09,0,0.0,11,2.77,54.55,0.0,0.0,1.26,20.0,0.0,0.0,0.75,0.0,0.5,1.26,60.0,6.54,46.15,0.75,1.76,0.0,48.27,0.25,2.26,62.35,83.06,19.11,64.47,10.06,95.0,22.88,87.91,54.3,91.67,6.79,25.93,19.07,37.96,0.12,1.26,0.0,0.0,0.75,33.33,0.25,10.56,61.9,5.28,28.57,3.27,23.08,1.26,0.25,8.3,78.79,0,,0,,0,0.0,0.0,0.0,,,0.75,,,1.51,0.75,66.67,2.26,0,0.0
Quinn Chamberlain,Team 2,Team 2,"LW, RW, LWF",24,200000,2027-12-31,14,920,1,1.88,1,0.73,13.79,44.68,Nigeria,Nigeria,left,182,74,yes,4.3,3.82,48.72,2.25,39.13,0.0,0.0,0.0,2.45,3.61,0.78,0,0.0,0,0.0,3.33,0.1,1,0.1,0.18,1,0.1,17,1.66,29.41,5.882,0.1,3.13,37.5,1.96,35.0,1.17,41.67,0.2,3.23,51.52,6.16,47.62,2.35,1.47,0.2,21.52,2.45,0.88,25.24,74.81,5.28,59.26,5.58,91.23,8.61,70.45,21.13,81.48,1.17,58.33,16.92,25.19,0.07,0.59,0.0,0.1,0.0,0.0,0.29,2.54,69.23,3.23,45.45,0.1,100.0,0.78,0.98,3.82,84.62,0,,0,,0,0.0,0.0,0.0,,,0.2,,,0.0,0.0,0.0,0.1,0,0.0
Dominic Drayton,Team 2,Team 2,DMF,33,100000,2026-11-30,7,290,0,0.14,0,0.0,8.69,64.29,Cameroon,Cameroon,right,181,80,yes,6.21,3.72,58.33,2.48,75.0,0.31,0.38,0.62,3.72,4.56,1.24,1,0.31,0,0.0,0.31,0.0,0,0.0,0.04,0,0.0,2,0.62,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.55,60.0,0.31,0.62,0.0,34.76,0.31,0.31,46.55,82.67,15.21,63.27,5.9,100.0,19.86,93.75,40.66,88.55,5.9,42.11,19.66,25.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,42.11,0.31,100.0,0.31,0.0,0.31,0.0,4.66,46.67,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0
Rowan Somerset,Team 2,Team 2,"LW, RW",19,350000,,1,30,0,0.0,0,0.0,,,Wales,Wales,right,175,71,yes,,,,,,,0.0,,,3.75,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.54,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Milo Underwood,Team 2,Team 2,"RCMF, LCMF, DMF",20,300000,2027-12-31,3,204,0,0.04,0,0.01,15.44,45.71,Iceland,"Iceland, France",right,181,77,yes,5.74,7.06,50.0,0.44,0.0,0.0,0.0,0.88,2.21,3.0,2.21,1,0.44,0,0.0,0.88,0.0,0,0.0,0.02,0,0.0,2,0.88,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.76,50.0,4.85,63.64,0.88,0.44,0.0,26.91,0.44,2.21,34.41,88.46,14.56,75.76,2.65,100.0,13.68,96.77,31.32,91.55,2.21,80.0,17.58,22.38,0.01,0.44,0.0,0.0,0.0,0.0,0.0,7.5,88.24,0.88,50.0,0.0,0.0,0.0,0.0,4.85,100.0,0,,0,,0,0.0,0.0,0.0,,,0.44,,,0.44,0.0,0.0,0.44,0,0.0
Leon Kingsbury,Team 2,Team 2,"LW, RW",22,250000,2027-12-31,10,606,0,0.69,0,0.37,26.58,49.72,Greece,Greece,right,178,71,yes,5.35,5.79,41.03,0.89,33.33,0.15,0.27,0.0,2.82,5.09,1.93,2,0.3,0,0.0,7.57,0.0,0,0.0,0.1,0,0.0,19,2.82,47.37,0.0,0.0,4.31,13.79,3.56,16.67,0.74,0.0,0.45,9.36,60.32,18.42,53.23,2.67,4.01,0.45,17.38,2.38,4.01,23.91,68.32,5.64,47.37,5.94,95.0,8.32,60.71,18.56,81.6,1.49,40.0,18.36,23.01,0.05,0.74,0.15,0.0,0.0,0.0,0.0,2.67,50.0,4.31,20.69,0.15,100.0,0.59,0.89,2.82,73.68,0,,0,,0,0.0,0.0,0.0,,,0.15,,,0.59,0.0,0.0,0.89,0,0.0
Tobias Vanderveer,Team 2,Team 2,"LCMF, RCMF",20,300000,2028-12-31,15,776,0,0.28,0,0.46,18.67,50.31,Poland,Poland,right,177,71,yes,6.15,6.15,50.94,2.09,33.33,0.35,0.54,0.7,2.67,4.11,2.2,1,0.12,0,0.0,1.28,0.0,0,0.0,0.03,0,0.0,5,0.58,0.0,0.0,0.0,0.93,25.0,0.46,25.0,0.35,0.0,0.12,1.62,57.14,8.93,53.25,0.7,1.86,0.35,26.56,0.81,3.02,33.63,84.83,10.32,76.4,6.84,89.83,10.9,90.43,31.2,88.1,1.51,53.85,18.0,22.47,0.05,0.46,0.0,0.0,0.12,100.0,0.35,3.83,84.85,1.62,64.29,0.12,100.0,0.58,0.35,4.99,81.4,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.0,0.0,0.0,0.0,0,0.0
Simon Norwood,Team 2,Team 2,"LCMF, RCMF",25,300000,2026-11-30,2,28,0,0.0,0,0.0,,,Ukraine,Ukraine,right,182,74,yes,,,,,,,7.5,,,7.5,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
Elias Ellington,Team 2,Team 2,RB,24,250000,2027-12-31,11,834,0,0.07,0,0.43,9.17,44.71,Colombia,"Colombia, Germany",right,179,66,yes,5.18,4.21,46.15,2.16,55.0,0.0,0.0,0.32,3.24,4.86,0.97,0,0.0,0,0.0,1.19,0.0,0,0.0,0.01,0,0.0,3,0.32,0.0,0.0,0.0,3.45,25.0,0.11,0.0,3.35,25.81,0.54,0.32,100.0,2.16,35.0,0.97,0.97,0.22,29.14,2.7,0.32,34.96,76.23,11.01,67.65,7.77,91.67,9.17,71.76,27.52,86.27,4.21,51.28,19.75,35.43,0.05,0.43,0.0,0.0,0.0,0.0,0.32,3.78,60.0,2.91,37.04,0.43,50.0,0.32,0.97,7.45,60.87,0,,0,,0,0.0,0.0,0.0,,,0.65,,,0.11,0.0,0.0,0.0,0,0.0
Owen Ingram,Team 2,Team 2,LCB,22,400000,2026-12-31,12,1139,0,0.43,0,0.0,11.77,56.38,England,England,right,183,81,yes,6.32,3.63,52.17,4.11,65.38,0.32,0.52,1.19,4.11,6.7,1.66,6,0.47,0,0.0,0.24,0.0,0,0.0,0.03,0,0.0,4,0.32,25.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.08,100.0,1.58,45.0,0.47,0.79,0.0,36.43,0.4,0.71,49.54,93.78,16.67,86.26,2.69,97.06,27.02,97.95,46.54,96.26,2.92,54.05,20.85,35.7,0.0,0.08,0.0,0.0,0.0,0.0,0.0,5.61,83.1,0.08,0.0,0.0,0.0,0.0,0.0,7.11,78.89,0,,0,,0,0.0,0.0,0.0,,,1.82,,,0.0,0.0,0.0,0.0,0,0.0
Ruben Lansbury,Team 2,Team 2,"DMF, RCMF",23,175000,2027-12-31,19,1390,1,1.08,1,0.46,11.14,52.91,Greece,"Greece, France",right,174,72,yes,6.54,4.99,54.55,2.46,42.11,0.32,0.5,0.45,3.5,5.42,1.17,3,0.19,0,0.0,1.17,0.06,1,0.06,0.07,1,0.06,20,1.29,20.0,5.0,0.06,0.78,50.0,0.19,66.67,0.52,37.5,0.26,0.65,80.0,2.59,60.0,1.04,0.52,0.13,23.5,0.39,0.65,34.12,82.54,9.78,70.86,4.73,90.41,14.7,89.87,28.75,85.36,4.6,70.42,19.63,36.61,0.03,0.45,0.0,0.0,0.06,0.0,0.26,4.86,77.33,1.29,70.0,0.26,25.0,0.78,0.39,4.99,68.83,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.0,0.0,0.0,0.06,0,0.0
Julian Mercer,Team 2,Team 2,"RW, RCMF",23,200000,2026-12-31,18,1286,3,2.6,3,3.66,10.92,41.67,Albania,Albania,left,165,60,yes,4.48,3.78,51.85,0.35,20.0,0.21,0.31,0.0,2.31,3.41,0.63,3,0.21,0,0.0,3.08,0.21,3,0.21,0.18,0,0.0,28,1.96,42.86,10.714,0.21,2.1,40.0,0.21,33.33,1.89,40.74,0.28,2.73,51.28,5.74,39.02,2.24,2.31,0.21,30.09,2.31,0.84,37.65,84.39,9.24,75.0,9.1,93.08,13.3,86.32,33.45,87.87,2.38,73.53,18.78,39.08,0.26,2.03,0.0,0.0,0.07,0.0,0.63,3.64,73.08,3.08,56.82,0.07,0.0,1.33,0.98,5.88,85.71,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.84,0.21,66.67,2.17,0,0.0
Marcus Sinclair,Team 2,Team 2,GK,28,300000,2026-11-30,1,98,0,0.0,0,0.0,0.0,0.0,Mexico,"Mexico, Portugal",right,194,83,yes,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,2.73,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.45,0.92,0.0,24.8,81.48,12.86,64.29,0.0,0.0,11.02,100.0,19.29,95.24,5.51,33.33,26.69,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,33.33,1,0.92,3,2.76,0,66.67,1.28,1.17,0.28,0.257,0.0,3.67,0.0,,,,0.0,0,0.0
Matthias Mercer,Team 2,Team 2,GK,33,300000,,19,1906,0,0.0,0,0.0,0.19,50.0,Romania,Romania,right,187,90,yes,1.18,0.05,100.0,0.09,50.0,0.0,0.0,0.0,1.13,1.71,0.0,5,0.24,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,12.56,0.38,0.05,21.01,88.09,10.1,80.37,0.05,100.0,10.01,96.23,14.45,97.06,6.42,69.85,30.93,49.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,46.67,0.05,0.0,0.05,0.0,0.0,0.0,5.15,76.15,30,1.42,101,4.77,3,70.3,27.61,1.3,-2.39,-0.113,0.05,0.94,0.09,,,,0.0,0,0.0
Adrian Vance,Team 48,Team 48,"CF, LAMF, AMF",26,1000000,2027-12-31,13,654,1,1.54,0,0.13,16.1,36.75,Greece,Greece,right,179,71,yes,3.72,2.89,38.1,4.13,20.0,0.0,0.0,0.28,2.61,3.56,0.69,1,0.14,0,0.0,0.69,0.14,1,0.14,0.21,0,0.0,11,1.51,36.36,9.091,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.14,0.83,16.67,6.33,45.65,2.89,0.41,0.0,11.97,2.48,2.75,17.48,79.53,2.75,50.0,5.78,85.71,3.85,85.71,16.38,82.35,0.55,75.0,14.18,10.31,0.02,0.28,0.0,0.0,0.0,0.0,0.14,1.24,55.56,0.96,57.14,0.0,0.0,0.69,0.0,1.38,70.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Nathan Irvine,Team 48,Team 48,"AMF, CF",35,350000,2026-11-30,16,1294,2,1.69,3,3.73,9.81,45.39,Belgium,Belgium,right,175,73,yes,2.36,3.27,44.68,1.6,34.78,0.0,0.0,0.07,0.9,1.3,1.18,3,0.21,0,0.0,2.16,0.14,1,0.07,0.12,0,0.0,27,1.88,44.44,7.407,0.21,1.88,33.33,0.7,40.0,1.11,31.25,0.28,1.18,41.18,3.69,50.94,0.49,1.18,0.07,23.93,1.18,1.53,32.97,77.22,13.77,68.69,4.66,91.04,10.22,80.95,24.62,85.03,6.47,60.22,21.26,34.04,0.26,1.6,0.07,0.07,0.21,100.0,0.7,9.25,69.17,4.52,44.62,0.83,50.0,1.25,0.7,7.44,87.85,0,,0,,0,0.0,0.0,0.0,,,0.42,,,3.13,1.04,46.67,3.48,1,100.0
Callum Whitmore,Team 48,Team 48,"LCB, LB, DMF",34,350000,2026-11-30,15,1185,1,0.88,0,0.17,10.03,40.91,Iceland,"Iceland, Germany",left,181,82,yes,5.62,5.09,38.81,2.58,38.24,0.15,0.21,0.3,3.49,4.86,2.35,4,0.3,0,0.0,0.76,0.08,1,0.08,0.07,1,0.08,12,0.91,33.33,8.333,0.0,1.9,16.0,1.52,10.0,0.38,40.0,0.23,0.3,50.0,1.37,38.89,0.61,0.53,0.0,18.38,0.38,0.53,29.85,75.83,11.7,61.69,4.78,95.24,9.34,81.3,22.63,88.26,5.47,43.06,24.32,42.34,0.01,0.3,0.0,0.0,0.0,0.0,0.08,6.23,54.88,1.75,17.39,0.38,40.0,0.08,0.3,5.7,72.0,0,,0,,0,0.0,0.0,0.0,,,0.68,,,1.06,0.3,50.0,1.97,0,0.0
Owen Sinclair,Team 48,Team 48,"RCB, DMF, CB",23,300000,2027-12-31,3,263,0,0.02,0,0.14,15.06,56.82,Slovenia,"Slovenia, Italy",right,183,76,yes,11.63,5.13,66.67,4.45,46.15,0.0,0.0,0.68,8.21,11.08,1.37,1,0.34,0,0.0,1.71,0.0,0,0.0,0.01,0,0.0,1,0.34,100.0,0.0,0.0,0.68,100.0,0.0,0.0,0.68,100.0,0.0,1.03,66.67,3.08,55.56,0.34,1.03,0.0,11.98,0.34,0.68,22.59,83.33,9.58,71.43,1.37,100.0,7.53,100.0,19.85,82.76,2.05,83.33,18.31,23.81,0.05,0.68,0.0,0.0,0.0,0.0,0.34,2.4,85.71,1.37,100.0,0.68,100.0,0.34,0.68,6.5,73.68,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.0,0.0,0.0,0.0,0,0.0
Ruben Callow,Team 48,Team 48,"RAMF, RW, AMF",35,300000,2026-11-30,10,305,0,0.31,0,0.2,20.36,39.13,Senegal,Senegal,right,175,68,yes,4.43,5.02,58.82,1.77,33.33,0.3,0.44,0.0,1.18,1.76,2.07,1,0.3,1,0.3,2.36,0.0,0,0.0,0.09,0,0.0,3,0.89,66.67,0.0,0.0,2.36,25.0,0.0,0.0,2.36,25.0,0.3,1.77,66.67,10.62,41.67,1.77,1.48,0.3,15.05,1.48,2.95,20.66,77.14,5.31,55.56,4.43,93.33,5.9,80.0,17.41,86.44,0.89,33.33,19.57,8.52,0.06,0.59,0.0,0.0,0.0,0.0,0.3,2.07,42.86,2.66,33.33,0.0,0.0,0.3,0.59,2.95,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
Alexander Waverley,Team 48,Team 48,"LDMF, RCMF, LCMF",29,250000,2026-11-30,8,535,1,0.47,0,0.08,12.62,38.67,Slovenia,"Slovenia, Spain",right,181,74,yes,6.06,6.06,38.89,2.69,50.0,0.0,0.0,0.34,3.7,4.89,2.69,0,0.0,0,0.0,0.67,0.17,1,0.17,0.08,1,0.17,4,0.67,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,40.0,3.03,27.78,0.5,0.17,0.0,15.98,0.34,0.5,22.21,79.55,7.23,48.84,4.04,100.0,8.07,91.67,20.02,82.35,2.19,53.85,20.12,32.79,0.01,0.17,0.0,0.0,0.0,0.0,0.0,3.03,55.56,0.5,0.0,0.0,0.0,0.0,0.0,2.86,58.82,0,,0,,0,0.0,0.0,0.0,,,0.67,,,0.0,0.0,0.0,0.17,0,0.0
Kasper Redmond,Team 48,Team 48,GK,40,150000,2026-11-30,14,1421,0,0.0,0,0.0,0.63,80.0,Greece,Greece,right,192,81,yes,1.71,0.25,75.0,0.19,100.0,0.06,0.08,0.0,1.46,1.93,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,0.0,0.0,0.0,8.11,0.13,0.06,15.2,74.17,9.82,61.94,0.0,0.0,4.75,96.0,7.22,99.12,7.92,52.0,38.72,55.46,0.0,0.0,0.06,0.0,0.0,0.0,0.0,4.12,49.23,0.44,0.0,0.51,0.0,0.0,0.0,5.13,79.01,27,1.71,85,5.38,2,68.24,26.23,1.66,-0.77,-0.049,0.0,1.08,0.19,,,,0.0,0,0.0
Milo Faulkner,Team 48,Team 48,"RB, RWB",26,350000,2026-11-30,12,1006,0,0.25,0,0.06,15.83,52.54,Uruguay,"Uruguay, France",right,177,69,yes,9.93,8.05,60.0,1.88,52.38,0.09,0.11,0.18,5.01,6.39,1.25,1,0.09,0,0.0,1.97,0.0,0,0.0,0.02,0,0.0,3,0.27,33.33,0.0,0.0,2.77,25.81,0.0,0.0,2.68,26.67,0.09,2.06,56.52,4.56,35.29,0.45,1.07,0.27,13.96,0.81,0.54,25.59,73.78,9.93,61.26,4.56,96.08,6.62,81.08,19.41,85.25,3.67,48.78,22.18,41.28,0.01,0.18,0.09,0.0,0.09,0.0,0.27,2.95,66.67,1.7,42.11,0.18,0.0,0.18,0.72,5.1,63.16,0,,0,,0,0.0,0.0,0.0,,,0.89,,,0.0,0.0,0.0,0.0,0,0.0
Marcus Montague,Team 48,Team 48,"RB, RWB",23,300000,2026-11-30,5,281,0,0.0,0,0.15,13.45,54.76,Romania,Romania,right,185,78,yes,8.65,8.65,55.56,2.88,55.56,1.28,1.9,0.32,2.56,3.81,1.92,0,0.0,0,0.0,1.28,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.2,30.0,0.0,0.0,3.2,30.0,0.0,0.96,33.33,1.6,60.0,0.32,1.28,0.32,17.3,0.64,0.64,25.62,78.75,8.65,77.78,5.12,93.75,7.69,70.83,21.46,86.57,1.92,66.67,21.52,52.52,0.05,0.32,0.0,0.0,0.0,0.0,0.32,3.52,81.82,2.24,14.29,0.32,0.0,0.32,0.32,6.41,80.0,0,,0,,0,0.0,0.0,0.0,,,0.32,,,0.0,0.0,0.0,0.0,0,0.0
Viktor Monroe,Team 48,Team 48,"RCMF, LCMF, AMF",27,350000,,7,612,0,0.08,0,0.11,13.53,50.0,Argentina,"Argentina, Portugal",right,182,74,yes,6.91,6.62,51.11,0.74,40.0,0.74,0.96,0.15,2.79,3.63,1.62,1,0.15,0,0.0,1.32,0.0,0,0.0,0.01,0,0.0,4,0.59,0.0,0.0,0.0,2.06,35.71,1.03,57.14,1.03,14.29,0.0,1.47,40.0,4.26,44.83,0.15,1.18,0.15,29.85,0.29,0.74,45.0,79.74,13.53,65.22,8.24,89.29,15.15,86.41,40.29,83.21,2.79,57.89,18.24,37.11,0.02,0.29,0.0,0.0,0.0,0.0,0.15,5.59,57.89,3.09,42.86,0.29,50.0,0.59,0.74,8.24,69.64,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.88,0.15,0.0,1.76,0,0.0
Viktor Hensley,Team 48,Team 48,CF,17,450000,2027-10-15,1,10,0,0.0,0,0.0,,,Ireland,Ireland,right,183,80,yes,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42,0.0,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
